FID,ADDRESS,CENTRE,X,Y
0,2861 Lauzon Rd,Little River Golf Course,-82.92817142,42.30607949
1,455 Kennedy Dr W,Roseland Golf and Curling Club,-83.00612949,42.25124049
2,3215 Forest Glade Dr,Forest Glade Community Centre,-82.91571577,42.30315576
3,5200 Matchette Rd,Ojibway Nature Centre,-83.07572007,42.26427575
4,2555 Pulford St,Capri Pizzeria Recreation Complex,-83.0355086,42.25792039
5,4270 Alice St,Constable John Atkinson Memorial Community Centre,-82.97854289,42.31344653
6,495 Glengarry Ave,Glengarry Court Community Centre,-83.03112382,42.3172913
7,1899 Niagara St,Willistead Heritage Complex,-83.01112974,42.31856182
8,3277 Sandwich St,Mackenzie Hall Cultural Centre,-83.07649856,42.30012471
9,1551 Wyandotte St W,Adie Knox Herman Recreation Complex,-83.05336859,42.30791397
10,1168 Drouillard Rd,Gino A. Marcus Community Complex,-82.99827743,42.31928329
11,400 Wyandotte St E,Windsor Water World,-83.03118579,42.31666334
12,4200 Malden Rd,Malden Visitors Centre,-83.06097585,42.27683543
13,1075 Ypres Ave,Optimist Community Centre,-83.00367054,42.29236142
14,635 McEwan Ave,Centres for Seniors,-83.05478649,42.30685455
15,8787 McHugh St,WFCU Centre,-82.92748649,42.31871719
